代號,名稱,年/月,報表別F/M,升降,TCRI,系統分級,APLr,MGT易手,炒股,庫藏股,CFO不一致,總分,ADE減分,規模,獲利,安全,效率
1532,勤美,2020/06,M,-,6,7 7,AP,+,,,,268,,104,4,35,-40
1533,車王電,2020/06,M,-,6,7 7,AP,,,,,288,,31,5,81,-40
1535,中宇,2020/06,M,-,4,4 4,,+,,,,524,,53,13,100,81
1536,和大,2020/06,M,↓,5,8 8,A,,,,,246,,65,20,32,-40
1537,廣隆,2020/06,M,-,4,3 2,,,,,,741,,50,97,100,51
1538,正峰,2020/06,M,-,9,8 8,AP,+,,,,166,,2,-60,89,50
1539,巨庭,2020/06,M,↓,7,8 8,AP,,,,,177,,20,17,20,26
1540,喬福,2020/06,F,-,6,7 7,AP,,,,,283,,5,-4,100,-40
1541,錩泰,2020/06,M,-,5,3 3,A,,,,,649,,30,99,91,19
1557,金豐,2020/06,M,-,6,5 5,A,+,,,,449,,52,28,100,-40
1558,伸興,2020/06,M,-,4,3 3,A,+,,,,663,,50,70,100,52
